Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,124.5,-118.0,180.0,top
BT1,120.875,-90.75,0.0,top
BZ1,149.6125,-118.8,0.0,top
C1,160.652,-87.225,90.0,top
C10,155.516188,-97.581731,0.0,top
C11,117.6,-115.62,180.0,top
C12,151.655,-131.94,0.0,top
C13,154.316188,-94.181731,0.0,top
C14,148.4,-91.9,90.0,top
C15,130.7,-99.7,180.0,top
C16,155.5,-131.3381,90.0,top
C17,139.5,-114.5,270.0,top
C18,147.3,-90.755,270.0,top
C19,147.475,-89.055,0.0,top
C2,140.92,-88.1,180.0,top
C20,151.9,-99.775,315.0,top
C21,154.5,-99.475,0.0,top
C22,158.5,-130.25,0.0,top
C23,158.5,-136.5,180.0,top
C24,150.2,-96.9,0.0,top
C25,140.8,-91.7,0.0,top
C26,157.2,-122.15,180.0,top
C27,130.7,-102.6,180.0,top
C28,157.2,-123.75,180.0,top
C29,141.2,-114.6,270.0,top
C3,143.0,-88.1,180.0,top
C30,154.0,-104.0,0.0,top
C31,154.425,-102.6,0.0,top
C32,125.0,-78.5,0.0,top
C33,159.0,-78.5,0.0,top
C34,117.5,-74.0,90.0,top
C35,117.5,-132.0,90.0,top
C36,166.5,-75.0,270.0,top
C37,166.5,-131.0,270.0,top
C38,142.525,-79.0,0.0,top
C39,133.0,-115.7,0.0,top
C4,167.85,-88.04,90.0,top
C5,155.527,-86.9,90.0,top
C6,168.85,-89.3,90.0,top
C7,156.627,-90.6,180.0,top
C8,128.15,-92.0,270.0,top
C9,153.0,-92.6,90.0,top
D1,128.25,-86.9,90.0,top
D2,163.49,-136.1975,90.0,top
D3,165.5,-136.1975,90.0,top
D4,161.5,-136.1875,90.0,top
FB1,146.1,-91.555,270.0,top
J1,142.0,-134.5,0.0,top
J10,172.0,-74.5,270.0,top
J11,167.9,-103.0,90.0,top
J12,120.5,-133.0,0.0,top
J13,125.09,-133.0,0.0,top
J14,129.68,-133.0,0.0,top
J15,134.27,-133.0,0.0,top
J16,172.0325,-132.25,270.0,top
J17,110.0,-87.0,90.0,top
J18,124.966,-72.9675,0.0,top
J19,158.0,-116.73,180.0,top
J2,142.0,-73.0,0.0,top
J20,134.0,-81.41,270.0,top
J21,134.0,-86.0,270.0,top
J22,150.0,-81.41,270.0,top
J23,150.0,-86.0,270.0,top
J3,109.75,-103.0,90.0,top
J4,174.0,-87.0,270.0,top
J5,158.966,-72.9675,0.0,top
J6,110.0,-119.0,90.0,top
J7,112.0,-74.0,90.0,top
J8,174.0,-119.0,270.0,top
J9,111.9675,-131.75,90.0,top
L1,157.8,-127.1,90.0,top
R1,140.5,-128.75,90.0,top
R10,152.635,-128.44,90.0,top
R11,152.635,-126.44,90.0,top
R12,149.75,-133.0,270.0,top
R13,163.5,-133.7075,270.0,top
R14,165.5,-133.6975,270.0,top
R15,161.49,-133.6975,270.0,top
R16,124.35,-115.62,0.0,top
R17,146.7,-93.675,180.0,top
R18,158.5,-135.5,180.0,top
R19,156.49,-135.5,180.0,top
R2,143.5,-128.75,270.0,top
R20,136.1,-114.9,270.0,top
R21,137.1,-114.9,90.0,top
R22,157.965,-100.17,0.0,top
R23,157.965,-101.37,0.0,top
R24,157.965,-102.47,0.0,top
R25,157.965,-104.67,0.0,top
R26,157.965,-106.87,0.0,top
R27,157.955,-107.97,0.0,top
R28,143.8,-117.7,270.0,top
R29,135.875,-93.1,0.0,top
R3,128.0,-89.5,270.0,top
R30,136.175,-94.4,180.0,top
R31,161.8,-94.2,180.0,top
R32,161.8,-92.5,180.0,top
R33,132.8,-97.2,270.0,top
R34,131.7,-97.2,270.0,top
R4,147.1,-128.43,90.0,top
R5,147.1,-126.5,90.0,top
R6,153.9,-128.1,90.0,top
R7,153.9,-125.6,90.0,top
R8,148.4,-127.9,90.0,top
R9,148.4,-125.4,90.0,top
RESET1,117.5,-118.0,180.0,top
SET1,131.5,-118.0,0.0,top
U1,166.915,-90.45,270.0,top
U2,142.0,-86.0,0.0,top
U3,158.152,-88.25,180.0,top
U4,120.0,-103.0,0.0,top
U5,150.6,-129.6,180.0,top
U6,158.0,-132.8875,90.0,top
U7,142.0,-103.0,135.0,top
Y1,154.816188,-95.881731,0.0,top
Y2,150.7,-92.5,90.0,top
